impute,inputmatrix,featsel,featext,response,models,penalty
yes,codon,no,no,binary,regression,no
yes,codon,no,no,binary,regression,lasso
yes,codon,no,no,binary,regression,ridge
yes,codon,no,no,binary,RF,no
yes,codon,no,no,binary,RF,lasso
yes,codon,no,no,binary,RF,ridge
yes,codon,no,no,binary,NN,no
yes,codon,no,no,binary,NN,lasso
yes,codon,no,no,binary,NN,ridge
yes,codon,no,no,numerical,regression,no
yes,codon,no,no,numerical,regression,lasso
yes,codon,no,no,numerical,regression,ridge
yes,codon,no,no,numerical,RF,no
yes,codon,no,no,numerical,RF,lasso
yes,codon,no,no,numerical,RF,ridge
yes,codon,no,no,numerical,NN,no
yes,codon,no,no,numerical,NN,lasso
yes,codon,no,no,numerical,NN,ridge
yes,codon,no,pca,binary,regression,no
yes,codon,no,pca,binary,regression,lasso
yes,codon,no,pca,binary,regression,ridge
yes,codon,no,pca,binary,RF,no
yes,codon,no,pca,binary,RF,lasso
yes,codon,no,pca,binary,RF,ridge
yes,codon,no,pca,binary,NN,no
yes,codon,no,pca,binary,NN,lasso
yes,codon,no,pca,binary,NN,ridge
yes,codon,no,pca,numerical,regression,no
yes,codon,no,pca,numerical,regression,lasso
yes,codon,no,pca,numerical,regression,ridge
yes,codon,no,pca,numerical,RF,no
yes,codon,no,pca,numerical,RF,lasso
yes,codon,no,pca,numerical,RF,ridge
yes,codon,no,pca,numerical,NN,no
yes,codon,no,pca,numerical,NN,lasso
yes,codon,no,pca,numerical,NN,ridge
yes,codon,no,tsne,binary,regression,no
yes,codon,no,tsne,binary,regression,lasso
yes,codon,no,tsne,binary,regression,ridge
yes,codon,no,tsne,binary,RF,no
yes,codon,no,tsne,binary,RF,lasso
yes,codon,no,tsne,binary,RF,ridge
yes,codon,no,tsne,binary,NN,no
yes,codon,no,tsne,binary,NN,lasso
yes,codon,no,tsne,binary,NN,ridge
yes,codon,no,tsne,numerical,regression,no
yes,codon,no,tsne,numerical,regression,lasso
yes,codon,no,tsne,numerical,regression,ridge
yes,codon,no,tsne,numerical,RF,no
yes,codon,no,tsne,numerical,RF,lasso
yes,codon,no,tsne,numerical,RF,ridge
yes,codon,no,tsne,numerical,NN,no
yes,codon,no,tsne,numerical,NN,lasso
yes,codon,no,tsne,numerical,NN,ridge
yes,codon,varThreshold,no,binary,regression,no
yes,codon,varThreshold,no,binary,regression,lasso
yes,codon,varThreshold,no,binary,regression,ridge
yes,codon,varThreshold,no,binary,RF,no
yes,codon,varThreshold,no,binary,RF,lasso
yes,codon,varThreshold,no,binary,RF,ridge
yes,codon,varThreshold,no,binary,NN,no
yes,codon,varThreshold,no,binary,NN,lasso
yes,codon,varThreshold,no,binary,NN,ridge
yes,codon,varThreshold,no,numerical,regression,no
yes,codon,varThreshold,no,numerical,regression,lasso
yes,codon,varThreshold,no,numerical,regression,ridge
yes,codon,varThreshold,no,numerical,RF,no
yes,codon,varThreshold,no,numerical,RF,lasso
yes,codon,varThreshold,no,numerical,RF,ridge
yes,codon,varThreshold,no,numerical,NN,no
yes,codon,varThreshold,no,numerical,NN,lasso
yes,codon,varThreshold,no,numerical,NN,ridge
yes,codon,varThreshold,pca,binary,regression,no
yes,codon,varThreshold,pca,binary,regression,lasso
yes,codon,varThreshold,pca,binary,regression,ridge
yes,codon,varThreshold,pca,binary,RF,no
yes,codon,varThreshold,pca,binary,RF,lasso
yes,codon,varThreshold,pca,binary,RF,ridge
yes,codon,varThreshold,pca,binary,NN,no
yes,codon,varThreshold,pca,binary,NN,lasso
yes,codon,varThreshold,pca,binary,NN,ridge
yes,codon,varThreshold,pca,numerical,regression,no
yes,codon,varThreshold,pca,numerical,regression,lasso
yes,codon,varThreshold,pca,numerical,regression,ridge
yes,codon,varThreshold,pca,numerical,RF,no
yes,codon,varThreshold,pca,numerical,RF,lasso
yes,codon,varThreshold,pca,numerical,RF,ridge
yes,codon,varThreshold,pca,numerical,NN,no
yes,codon,varThreshold,pca,numerical,NN,lasso
yes,codon,varThreshold,pca,numerical,NN,ridge
yes,codon,varThreshold,tsne,binary,regression,no
yes,codon,varThreshold,tsne,binary,regression,lasso
yes,codon,varThreshold,tsne,binary,regression,ridge
yes,codon,varThreshold,tsne,binary,RF,no
yes,codon,varThreshold,tsne,binary,RF,lasso
yes,codon,varThreshold,tsne,binary,RF,ridge
yes,codon,varThreshold,tsne,binary,NN,no
yes,codon,varThreshold,tsne,binary,NN,lasso
yes,codon,varThreshold,tsne,binary,NN,ridge
yes,codon,varThreshold,tsne,numerical,regression,no
yes,codon,varThreshold,tsne,numerical,regression,lasso
yes,codon,varThreshold,tsne,numerical,regression,ridge
yes,codon,varThreshold,tsne,numerical,RF,no
yes,codon,varThreshold,tsne,numerical,RF,lasso
yes,codon,varThreshold,tsne,numerical,RF,ridge
yes,codon,varThreshold,tsne,numerical,NN,no
yes,codon,varThreshold,tsne,numerical,NN,lasso
yes,codon,varThreshold,tsne,numerical,NN,ridge
yes,original,no,no,binary,regression,no
yes,original,no,no,binary,regression,lasso
yes,original,no,no,binary,regression,ridge
yes,original,no,no,binary,RF,no
yes,original,no,no,binary,RF,lasso
yes,original,no,no,binary,RF,ridge
yes,original,no,no,binary,NN,no
yes,original,no,no,binary,NN,lasso
yes,original,no,no,binary,NN,ridge
yes,original,no,no,numerical,regression,no
yes,original,no,no,numerical,regression,lasso
yes,original,no,no,numerical,regression,ridge
yes,original,no,no,numerical,RF,no
yes,original,no,no,numerical,RF,lasso
yes,original,no,no,numerical,RF,ridge
yes,original,no,no,numerical,NN,no
yes,original,no,no,numerical,NN,lasso
yes,original,no,no,numerical,NN,ridge
yes,original,no,pca,binary,regression,no
yes,original,no,pca,binary,regression,lasso
yes,original,no,pca,binary,regression,ridge
yes,original,no,pca,binary,RF,no
yes,original,no,pca,binary,RF,lasso
yes,original,no,pca,binary,RF,ridge
yes,original,no,pca,binary,NN,no
yes,original,no,pca,binary,NN,lasso
yes,original,no,pca,binary,NN,ridge
yes,original,no,pca,numerical,regression,no
yes,original,no,pca,numerical,regression,lasso
yes,original,no,pca,numerical,regression,ridge
yes,original,no,pca,numerical,RF,no
yes,original,no,pca,numerical,RF,lasso
yes,original,no,pca,numerical,RF,ridge
yes,original,no,pca,numerical,NN,no
yes,original,no,pca,numerical,NN,lasso
yes,original,no,pca,numerical,NN,ridge
yes,original,no,tsne,binary,regression,no
yes,original,no,tsne,binary,regression,lasso
yes,original,no,tsne,binary,regression,ridge
yes,original,no,tsne,binary,RF,no
yes,original,no,tsne,binary,RF,lasso
