impute,inputmatrix,featsel,featext,response,data,models,penalty
yes,codon,no,no,binary,original,regression,no
yes,codon,no,no,binary,original,regression,lasso
yes,codon,no,no,binary,original,regression,ridge
yes,codon,no,no,binary,original,RF,no
yes,codon,no,no,binary,original,RF,lasso
yes,codon,no,no,binary,original,RF,ridge
yes,codon,no,no,binary,original,NN,no
yes,codon,no,no,binary,original,NN,lasso
yes,codon,no,no,binary,original,NN,ridge
yes,codon,no,no,numerical,original,regression,no
yes,codon,no,no,numerical,original,regression,lasso
yes,codon,no,no,numerical,original,regression,ridge
yes,codon,no,no,numerical,original,RF,no
yes,codon,no,no,numerical,original,RF,lasso
yes,codon,no,no,numerical,original,RF,ridge
yes,codon,no,no,numerical,original,NN,no
yes,codon,no,no,numerical,original,NN,lasso
yes,codon,no,no,numerical,original,NN,ridge
yes,codon,no,pca,binary,original,regression,no
yes,codon,no,pca,binary,original,regression,lasso
yes,codon,no,pca,binary,original,regression,ridge
yes,codon,no,pca,binary,original,RF,no
yes,codon,no,pca,binary,original,RF,lasso
yes,codon,no,pca,binary,original,RF,ridge
yes,codon,no,pca,binary,original,NN,no
yes,codon,no,pca,binary,original,NN,lasso
yes,codon,no,pca,binary,original,NN,ridge
yes,codon,no,pca,numerical,original,regression,no
yes,codon,no,pca,numerical,original,regression,lasso
yes,codon,no,pca,numerical,original,regression,ridge
yes,codon,no,pca,numerical,original,RF,no
yes,codon,no,pca,numerical,original,RF,lasso
yes,codon,no,pca,numerical,original,RF,ridge
yes,codon,no,pca,numerical,original,NN,no
yes,codon,no,pca,numerical,original,NN,lasso
yes,codon,no,pca,numerical,original,NN,ridge
yes,codon,no,tsne,binary,original,regression,no
yes,codon,no,tsne,binary,original,regression,lasso
yes,codon,no,tsne,binary,original,regression,ridge
yes,codon,no,tsne,binary,original,RF,no
yes,codon,no,tsne,binary,original,RF,lasso
yes,codon,no,tsne,binary,original,RF,ridge
yes,codon,no,tsne,binary,original,NN,no
yes,codon,no,tsne,binary,original,NN,lasso
yes,codon,no,tsne,binary,original,NN,ridge
yes,codon,no,tsne,numerical,original,regression,no
yes,codon,no,tsne,numerical,original,regression,lasso
yes,codon,no,tsne,numerical,original,regression,ridge
yes,codon,no,tsne,numerical,original,RF,no
yes,codon,no,tsne,numerical,original,RF,lasso
yes,codon,no,tsne,numerical,original,RF,ridge
yes,codon,no,tsne,numerical,original,NN,no
yes,codon,no,tsne,numerical,original,NN,lasso
yes,codon,no,tsne,numerical,original,NN,ridge
yes,codon,varThreshold,no,binary,original,regression,no
yes,codon,varThreshold,no,binary,original,regression,lasso
yes,codon,varThreshold,no,binary,original,regression,ridge
yes,codon,varThreshold,no,binary,original,RF,no
yes,codon,varThreshold,no,binary,original,RF,lasso
yes,codon,varThreshold,no,binary,original,RF,ridge
yes,codon,varThreshold,no,binary,original,NN,no
yes,codon,varThreshold,no,binary,original,NN,lasso
yes,codon,varThreshold,no,binary,original,NN,ridge
yes,codon,varThreshold,no,numerical,original,regression,no
yes,codon,varThreshold,no,numerical,original,regression,lasso
yes,codon,varThreshold,no,numerical,original,regression,ridge
yes,codon,varThreshold,no,numerical,original,RF,no
yes,codon,varThreshold,no,numerical,original,RF,lasso
yes,codon,varThreshold,no,numerical,original,RF,ridge
yes,codon,varThreshold,no,numerical,original,NN,no
yes,codon,varThreshold,no,numerical,original,NN,lasso
yes,codon,varThreshold,no,numerical,original,NN,ridge
yes,codon,varThreshold,pca,binary,original,regression,no
yes,codon,varThreshold,pca,binary,original,regression,lasso
yes,codon,varThreshold,pca,binary,original,regression,ridge
yes,codon,varThreshold,pca,binary,original,RF,no
yes,codon,varThreshold,pca,binary,original,RF,lasso
yes,codon,varThreshold,pca,binary,original,RF,ridge
yes,codon,varThreshold,pca,binary,original,NN,no
yes,codon,varThreshold,pca,binary,original,NN,lasso
yes,codon,varThreshold,pca,binary,original,NN,ridge
yes,codon,varThreshold,pca,numerical,original,regression,no
yes,codon,varThreshold,pca,numerical,original,regression,lasso
yes,codon,varThreshold,pca,numerical,original,regression,ridge
yes,codon,varThreshold,pca,numerical,original,RF,no
yes,codon,varThreshold,pca,numerical,original,RF,lasso
yes,codon,varThreshold,pca,numerical,original,RF,ridge
yes,codon,varThreshold,pca,numerical,original,NN,no
yes,codon,varThreshold,pca,numerical,original,NN,lasso
yes,codon,varThreshold,pca,numerical,original,NN,ridge
yes,codon,varThreshold,tsne,binary,original,regression,no
yes,codon,varThreshold,tsne,binary,original,regression,lasso
yes,codon,varThreshold,tsne,binary,original,regression,ridge
yes,codon,varThreshold,tsne,binary,original,RF,no
yes,codon,varThreshold,tsne,binary,original,RF,lasso
yes,codon,varThreshold,tsne,binary,original,RF,ridge
yes,codon,varThreshold,tsne,binary,original,NN,no
yes,codon,varThreshold,tsne,binary,original,NN,lasso
yes,codon,varThreshold,tsne,binary,original,NN,ridge
yes,codon,varThreshold,tsne,numerical,original,regression,no
yes,codon,varThreshold,tsne,numerical,original,regression,lasso
yes,codon,varThreshold,tsne,numerical,original,regression,ridge
yes,codon,varThreshold,tsne,numerical,original,RF,no
yes,codon,varThreshold,tsne,numerical,original,RF,lasso
yes,codon,varThreshold,tsne,numerical,original,RF,ridge
yes,codon,varThreshold,tsne,numerical,original,NN,no
yes,codon,varThreshold,tsne,numerical,original,NN,lasso
yes,codon,varThreshold,tsne,numerical,original,NN,ridge
yes,original,no,no,binary,original,regression,no
yes,original,no,no,binary,original,regression,lasso
yes,original,no,no,binary,original,regression,ridge
yes,original,no,no,binary,original,RF,no
yes,original,no,no,binary,original,RF,lasso
yes,original,no,no,binary,original,RF,ridge
yes,original,no,no,binary,original,NN,no
yes,original,no,no,binary,original,NN,lasso
yes,original,no,no,binary,original,NN,ridge
yes,original,no,no,numerical,original,regression,no
yes,original,no,no,numerical,original,regression,lasso
yes,original,no,no,numerical,original,regression,ridge
yes,original,no,no,numerical,original,RF,no
yes,original,no,no,numerical,original,RF,lasso
yes,original,no,no,numerical,original,RF,ridge
yes,original,no,no,numerical,original,NN,no
yes,original,no,no,numerical,original,NN,lasso
yes,original,no,no,numerical,original,NN,ridge
yes,original,no,pca,binary,original,regression,no
yes,original,no,pca,binary,original,regression,lasso
yes,original,no,pca,binary,original,regression,ridge
yes,original,no,pca,binary,original,RF,no
yes,original,no,pca,binary,original,RF,lasso
yes,original,no,pca,binary,original,RF,ridge
yes,original,no,pca,binary,original,NN,no
yes,original,no,pca,binary,original,NN,lasso
yes,original,no,pca,binary,original,NN,ridge
yes,original,no,pca,numerical,original,regression,no
yes,original,no,pca,numerical,original,regression,lasso
yes,original,no,pca,numerical,original,regression,ridge
yes,original,no,pca,numerical,original,RF,no
yes,original,no,pca,numerical,original,RF,lasso
yes,original,no,pca,numerical,original,RF,ridge
yes,original,no,pca,numerical,original,NN,no
yes,original,no,pca,numerical,original,NN,lasso
yes,original,no,pca,numerical,original,NN,ridge
yes,original,no,tsne,binary,original,regression,no
yes,original,no,tsne,binary,original,regression,lasso
yes,original,no,tsne,binary,original,regression,ridge
yes,original,no,tsne,binary,original,RF,no
yes,original,no,tsne,binary,original,RF,lasso
yes,original,no,tsne,binary,original,RF,ridge
yes,original,no,tsne,binary,original,NN,no
yes,original,no,tsne,binary,original,NN,lasso
yes,original,no,tsne,binary,original,NN,ridge
yes,original,no,tsne,numerical,original,regression,no
yes,original,no,tsne,numerical,original,regression,lasso
yes,original,no,tsne,numerical,original,regression,ridge
yes,original,no,tsne,numerical,original,RF,no
yes,original,no,tsne,numerical,original,RF,lasso
yes,original,no,tsne,numerical,original,RF,ridge
yes,original,no,tsne,numerical,original,NN,no
yes,original,no,tsne,numerical,original,NN,lasso
yes,original,no,tsne,numerical,original,NN,ridge
yes,original,varThreshold,no,binary,original,regression,no
yes,original,varThreshold,no,binary,original,regression,lasso
yes,original,varThreshold,no,binary,original,regression,ridge
yes,original,varThreshold,no,binary,original,RF,no
yes,original,varThreshold,no,binary,original,RF,lasso
yes,original,varThreshold,no,binary,original,RF,ridge
yes,original,varThreshold,no,binary,original,NN,no
yes,original,varThreshold,no,binary,original,NN,lasso
yes,original,varThreshold,no,binary,original,NN,ridge
yes,original,varThreshold,no,numerical,original,regression,no
yes,original,varThreshold,no,numerical,original,regression,lasso
yes,original,varThreshold,no,numerical,original,regression,ridge
yes,original,varThreshold,no,numerical,original,RF,no
yes,original,varThreshold,no,numerical,original,RF,lasso
yes,original,varThreshold,no,numerical,original,RF,ridge
yes,original,varThreshold,no,numerical,original,NN,no
yes,original,varThreshold,no,numerical,original,NN,lasso
yes,original,varThreshold,no,numerical,original,NN,ridge
yes,original,varThreshold,pca,binary,original,regression,no
yes,original,varThreshold,pca,binary,original,regression,lasso
yes,original,varThreshold,pca,binary,original,regression,ridge
yes,original,varThreshold,pca,binary,original,RF,no
yes,original,varThreshold,pca,binary,original,RF,lasso
yes,original,varThreshold,pca,binary,original,RF,ridge
yes,original,varThreshold,pca,binary,original,NN,no
yes,original,varThreshold,pca,binary,original,NN,lasso
yes,original,varThreshold,pca,binary,original,NN,ridge
yes,original,varThreshold,pca,numerical,original,regression,no
yes,original,varThreshold,pca,numerical,original,regression,lasso
yes,original,varThreshold,pca,numerical,original,regression,ridge
yes,original,varThreshold,pca,numerical,original,RF,no
yes,original,varThreshold,pca,numerical,original,RF,lasso
yes,original,varThreshold,pca,numerical,original,RF,ridge
yes,original,varThreshold,pca,numerical,original,NN,no
yes,original,varThreshold,pca,numerical,original,NN,lasso
yes,original,varThreshold,pca,numerical,original,NN,ridge
yes,original,varThreshold,tsne,binary,original,regression,no
yes,original,varThreshold,tsne,binary,original,regression,lasso
yes,original,varThreshold,tsne,binary,original,regression,ridge
yes,original,varThreshold,tsne,binary,original,RF,no
yes,original,varThreshold,tsne,binary,original,RF,lasso
yes,original,varThreshold,tsne,binary,original,RF,ridge
yes,original,varThreshold,tsne,binary,original,NN,no
yes,original,varThreshold,tsne,binary,original,NN,lasso
yes,original,varThreshold,tsne,binary,original,NN,ridge
yes,original,varThreshold,tsne,numerical,original,regression,no
yes,original,varThreshold,tsne,numerical,original,regression,lasso
yes,original,varThreshold,tsne,numerical,original,regression,ridge
yes,original,varThreshold,tsne,numerical,original,RF,no
yes,original,varThreshold,tsne,numerical,original,RF,lasso
yes,original,varThreshold,tsne,numerical,original,RF,ridge
yes,original,varThreshold,tsne,numerical,original,NN,no
yes,original,varThreshold,tsne,numerical,original,NN,lasso
yes,original,varThreshold,tsne,numerical,original,NN,ridge
yes,snp,no,no,binary,original,regression,no
yes,snp,no,no,binary,original,regression,lasso
yes,snp,no,no,binary,original,regression,ridge
yes,snp,no,no,binary,original,RF,no
yes,snp,no,no,binary,original,RF,lasso
